index,country,income_cat,n,c,axfin,gamma_SP,k,fa,v,shew,iso3,avg_prod_k
194,Sri Lanka,nonpoor,0.8,10872.58807,0.3275283,1.149248304,32181.64475,0.014315249,0.673890577,0.8,LKA,0.33796
195,Sri Lanka,poor,0.2,3638.33463,0.2101409,0.403006782,10723.57781,0.017452717,0.7,0.8,LKA,0.33796
196,Sudan,nonpoor,0.8,3803.052423,0.04988819,1.25,3989.862545,0.046127615,0.6,0.6,SDN,0.94875
197,Sudan,poor,0.2,1111.655199,0.008296447,0.0,1246.1435,0.056237388,0.7,0.6,SDN,0.94875
198,Swaziland,nonpoor,0.8,7761.016726000002,0.2348936,1.170846837,40885.09807,0.045103802,0.3,0.6,SWZ,0.19038
199,Swaziland,poor,0.2,1310.354049,0.09158991,0.316612654,6405.598928,0.052679375999999986,0.5379999999999999,0.6,SWZ,0.19038
200,Sweden,nonpoor,0.8,49244.29916,0.6711391999999999,1.098217594,140026.7607,0.003490751,0.260868937,0.8,SWE,0.35736999999999997
201,Sweden,poor,0.2,20725.27533,0.5881995,0.607129625,49076.45712,0.004255817,0.3,0.8,SWE,0.35736999999999997
202,Syrian Arab Republic,nonpoor,0.8,5723.138972,0.05367074,1.21302297,20995.35015,0.014662305,0.5,0.6,SYR,0.27075
203,Syrian Arab Republic,poor,0.2,1904.406729,0.04674114,0.147908121,7604.53967,0.017875837,0.7,0.6,SYR,0.27075
204,Tajikistan,nonpoor,0.8,2785.76942,0.0047790770000000005,1.060960919,7391.935367,0.263197957,0.125977592,0.6,TJK,0.38543
